"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";"Tolerance";"Voltage - Rated";"Product URL";"Datasheet URL"
"1";"C4,C1,C17";"0402 (1005 Metric)";"3";"1000 pF";"Digikey-CC0402KRX7R9BB102";"±10%";"50V";"https://www.digikey.com/en/products/detail/yageo/CC0402KRX7R9BB102/302770";"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf"
"2";"J1";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified";"1";"USB_B_Micro";"";"";"";"";""
"3";"J2";"PinHeader_1x02_P2.54mm_Vertical";"1";"Conn_01x02";"";"";"";"";""
"4";"J3,J4";"PinHeader_2x18_P2.54mm_Vertical";"2";"Conn_02x18_Odd_Even";"";"";"";"";""
"5";"C10,C8";"C_0402_1005Metric";"2";"1u";"";"";"";"";""
"6";"C13,C5,C9,C12,C14,C7,C11,C16,C6,C15";"C_0402_1005Metric";"10";"100n";"";"";"";"";""
"7";"R2";"R_0402_1005Metric";"1";"DNF";"";"";"";"";""
"8";"U1";"SOT-223-3_TabPin2";"1";"NCP1117-3.3_SOT223";"";"";"";"";""
"9";"U2";"SOIC-8_5.23x5.23mm_P1.27mm";"1";"W25Q128JVS";"";"";"";"";""
"10";"R1,R5";"R_0402_1005Metric";"2";"1k";"";"";"";"";""
"11";"R3,R4";"R_0402_1005Metric";"2";"27";"";"";"";"";""
"12";"U3";"RP2040-QFN-56";"1";"RP2040";"";"";"";"";""
"13";"H2,H3,H1,H4";"MountingHole_2.7mm_M2.5";"4";"MountingHole";"";"";"";"";""
"14";"C2,C3";"C_0402_1005Metric";"2";"15p";"";"";"";"";""
"15";"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";"1";"ABM8-272-T3";"";"";"";"";""
"16";"C4";"0402 (1005 Metric)";"1";"1000 pF";"Digikey-CC0402KRX7R9BB102";"±10%";"50V";"https://www.digikey.com/en/products/detail/yageo/CC0402KRX7R9BB102/302770";"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf"
